seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,coverage,selective_risk,number_accepted,number_abstained
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,confidence_threshold,0.9,0.8203846153846154,0.008204406938584152,4266.0,934.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,confidence_threshold,0.95,0.7721153846153846,0.005230386052303859,4015.0,1185.0
17,clean,clean,{},standard_conformal,0.05,hybrid,0.5,0.9013,0.045378897148563135,9013.0,987.0
17,clean,clean,{},standard_conformal,0.05,hybrid,0.6,0.8918,0.04070419376541823,8918.0,1082.0
17,clean,clean,{},standard_conformal,0.05,hybrid,0.7,0.8738,0.03559166857404439,8738.0,1262.0
17,clean,clean,{},standard_conformal,0.05,hybrid,0.8,0.8218,0.022998296422487186,8218.0,1782.0
17,clean,clean,{},standard_conformal,0.05,hybrid,0.9,0.742,0.0121293800539084,7420.0,2580.0
17,clean,clean,{},standard_conformal,0.05,hybrid,0.95,0.6745,0.007412898443291294,6745.0,3255.0
17,clean,clean,{},standard_conformal,0.05,singleton_conformal,,0.9089,0.049180327868852514,9089.0,911.0
17,clean,clean,{},standard_conformal,0.1,hybrid,0.5,0.9583,0.06501095690284875,9583.0,417.0
17,clean,clean,{},standard_conformal,0.1,hybrid,0.6,0.9242,0.050530188270937026,9242.0,758.0
17,clean,clean,{},standard_conformal,0.1,hybrid,0.7,0.8769,0.036036036036036,8769.0,1231.0
17,clean,clean,{},standard_conformal,0.1,hybrid,0.8,0.8218,0.022998296422487186,8218.0,1782.0
17,clean,clean,{},standard_conformal,0.1,hybrid,0.9,0.742,0.0121293800539084,7420.0,2580.0
17,clean,clean,{},standard_conformal,0.1,hybrid,0.95,0.6745,0.007412898443291294,6745.0,3255.0
17,clean,clean,{},standard_conformal,0.1,singleton_conformal,,0.9583,0.06501095690284875,9583.0,417.0
17,clean,clean,{},standard_conformal,0.2,hybrid,0.5,0.8155,0.02170447578172896,8155.0,1845.0
17,clean,clean,{},standard_conformal,0.2,hybrid,0.6,0.8155,0.02170447578172896,8155.0,1845.0
17,clean,clean,{},standard_conformal,0.2,hybrid,0.7,0.8155,0.02170447578172896,8155.0,1845.0
17,clean,clean,{},standard_conformal,0.2,hybrid,0.8,0.8155,0.02170447578172896,8155.0,1845.0
17,clean,clean,{},standard_conformal,0.2,hybrid,0.9,0.742,0.0121293800539084,7420.0,2580.0
17,clean,clean,{},standard_conformal,0.2,hybrid,0.95,0.6745,0.007412898443291294,6745.0,3255.0
17,clean,clean,{},standard_conformal,0.2,singleton_conformal,,0.8155,0.02170447578172896,8155.0,1845.0
17,clean,clean,{},temperature_scaled,,confidence_threshold,0.5,0.9693,0.0696378830083565,9693.0,307.0
17,clean,clean,{},temperature_scaled,,confidence_threshold,0.6,0.9242,0.050530188270937026,9242.0,758.0
17,clean,clean,{},temperature_scaled,,confidence_threshold,0.7,0.8769,0.036036036036036,8769.0,1231.0
17,clean,clean,{},temperature_scaled,,confidence_threshold,0.8,0.8218,0.022998296422487186,8218.0,1782.0
17,clean,clean,{},temperature_scaled,,confidence_threshold,0.9,0.742,0.0121293800539084,7420.0,2580.0
17,clean,clean,{},temperature_scaled,,confidence_threshold,0.95,0.6745,0.007412898443291294,6745.0,3255.0
17,gaussian_blur,medium,"{""sigma"":1.0}",standard_conformal,0.05,hybrid,0.5,0.7949,0.055101270600075525,7949.0,2051.0
17,gaussian_blur,medium,"{""sigma"":1.0}",standard_conformal,0.05,hybrid,0.6,0.7525,0.04438538205980069,7525.0,2475.0
